"PROPAGATIVE_MATERIAL_TYPE","COUNTRY_OF_ORIGIN_NAME","MEDIAN_QTY_LT200","PRODUCER_GROUP_TOP","IMPORTER_NAME_TOP","Compliance"
"Rooted Plant (including grafted)","Korea, South",TRUE,"xplant","Reference","Poor compliance"
"Rooted Plant (including grafted)","Korea, South",TRUE,"xplant","missing","Poor compliance"
"Rooted Plant (including grafted)","Korea, South",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Korea, South",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Korea, South",TRUE,"Reference","western cactus enterprises","Poor compliance"
"Rooted Plant (including grafted)","Korea, South",TRUE,"Reference","altman specialty plants","Poor compliance"
"Rooted Plant (including grafted)","Korea, South",TRUE,"Reference","costa farms","Low compliance"
"Rooted Plant (including grafted)","Korea, South",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Korea, South",TRUE,"Reference","aksiporn saengfa","Poor compliance"
"Rooted Plant (including grafted)","Korea, South",FALSE,"xplant","Reference","Medium compliance"
"Rooted Plant (including grafted)","Korea, South",FALSE,"xplant","missing","Low compliance"
"Rooted Plant (including grafted)","Korea, South",FALSE,"Reference","Reference","High compliance"
"Rooted Plant (including grafted)","Korea, South",FALSE,"Reference","missing","Medium compliance"
"Rooted Plant (including grafted)","Korea, South",FALSE,"Reference","western cactus enterprises","Medium compliance"
"Rooted Plant (including grafted)","Korea, South",FALSE,"Reference","altman specialty plants","Low compliance"
"Rooted Plant (including grafted)","Korea, South",FALSE,"Reference","costa farms","Medium compliance"
"Rooted Plant (including grafted)","Korea, South",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Korea, South",FALSE,"Reference","aksiporn saengfa","Medium compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Escactus","missing","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"WALPAT AQUATIC","complete aquatic systems","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","ultum nature systems","Low compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"WHITE ROSE EXPORT (THAILAND) LTD","complete aquatic systems","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","siam flora","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","complete aquatic systems","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","tat tristan g","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","united plant growers","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Natta 1565 Limited","Reference","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"ALPINE TROPICAL PLANTS CO LTD","missing","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","chen tian","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","ds cole growers","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","aksiporn saengfa","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Kantapat Kaewpradith","Reference","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Escactus","Reference","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","daniel baytosh","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Bomb Takomfoo","Reference","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"ALPINE TROPICAL PLANTS CO LTD","Reference","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","green plant cuttings usa","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"GENEROS ECUATORIANOS","Reference","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","waterscaap pond amp aquarium plants","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"PT AQUATIC PLAN CENTRE INDONESIA","Reference","Low compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","gubler orchids","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"GENEROS ECUATORIANOS","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Natta 1565 Limited","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","b c amp f brokerage","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Natta 1565 Limited","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","mchutchison","Poor compliance"
"Rooted Plant (including grafted)","Thailand",TRUE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Escactus","missing","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"WALPAT AQUATIC","complete aquatic systems","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","ultum nature systems","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"WHITE ROSE EXPORT (THAILAND) LTD","complete aquatic systems","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","siam flora","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","complete aquatic systems","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","tat tristan g","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","united plant growers","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Natta 1565 Limited","Reference","Medium compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"ALPINE TROPICAL PLANTS CO LTD","missing","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","chen tian","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","ds cole growers","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","omega customs brokers","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","aksiporn saengfa","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Kantapat Kaewpradith","Reference","Medium compliance"
