,INSPECTION_ID,COMMODITY_COMMON_NAME,COUNTRY_OF_ORIGIN_NAME,PRODUCER_NAME,PROPAGATIVE_MATERIAL_TYPE,QUANTITY,BROKER_NAME,INSPECTION_LOCATION_NAME,PATHWAY,INSPECTION_NUMBER,SHIPPER_NAME,TAXONOMY_ORDER,TAXONOMY_FAMILY,TAXONOMY_GENUS,TAXONOMY_SPECIES,action,RISK_UNIT,TOTAL_SAMPLING_UNITS_FOR_RISK_UNIT,SAMPLING_UNITS_FOR_INSPECTION_UNIT,REQUIRED_NUMBER_OF_BOXES
442,1569999,Calibrachoa sp.,Ecuador,Plant Inventions Ecuadora,Unrooted Cutting,3900,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_1000,Unknown,Solanales,Solanaceae,Calibrachoa,Unknown,0,1569999_1,15,15,9
337,2410102,Fittonia sp.,Jamaica,Fidel Castro's Shell Company,Unrooted Cutting,3200,WWE BROKERAGE - HDF,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_103,Fidel Castro's Shell Company,Lamiales,Acanthaceae,Fittonia,Unknown,0,2410102_1,233,1,8
388,1835106,Epipremnum aureum,Ecuador,Mediocre Plants SA,Unrooted Cutting,80000,WILEY COYOTE CO,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_107,Unknown,Alismatales,Araceae,Epipremnum,aureum,0,1835106_1,203,4,18
10,1683126,Coleus sp.,Panama,Unknown,Unrooted Cutting,67700,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_127,Unknown,Lamiales,Lamiaceae,Coleus,Unknown,0,1683126_1,16,6,7
462,1993139,Echinacea purpurea,Lithuania,Unknown,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),10020,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_140,Unknown,Asterales,Asteraceae,Echinacea,purpurea,0,1993139_1,19,2,2
463,1993139,Rudbeckia hirta,Lithuania,Unknown,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),4400,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_140,Unknown,Asterales,Asteraceae,Rudbeckia,hirta,0,1993139_1,19,2,2
464,1993139,Senecio candidans ,Lithuania,Unknown,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),33000,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_140,Unknown,Asterales,Asteraceae,Senecio,candidans,0,1993139_1,19,2,2
33,1668149,Verbena sp.,Colombia,POKER INTERNACIONAL MEXICO S,Unrooted Cutting,200,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_150,Unknown,Lamiales,Verbenaceae,Verbena,Unknown,0,1668149_1,92,1,8
40,2082163,Vriesea sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Plant,3000,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_164,Unknown,Poales,Bromeliaceae,Vriesea,Unknown,0,2082163_1,401,10,18
41,2082163,Vriesea sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Plant,3000,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_164,Unknown,Poales,Bromeliaceae,Vriesea,Unknown,0,2082163_1,401,10,18
42,2082163,Haworthia sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Plant,17789,"REM FARMS, LLC",Miami PIS,Airport - Aircraft - Cargo - PIS,INS_164,Unknown,Asparagales,Asphodelaceae,Haworthia,Unknown,0,2082163_1,401,2,18
