COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE,Compliance,Detection Level,Confidence Levels
Netherlands,Budwood/Graftwood (scion),High Compliance,0.3,0.95
Mexico,Budwood/Graftwood (scion),High Compliance,0.3,0.95
Israel,Budwood/Graftwood (scion),High Compliance,0.3,0.95
Japan,Budwood/Graftwood (scion),High Compliance,0.3,0.95
New Zealand,Budwood/Graftwood (scion),High Compliance,0.3,0.95
India,Budwood/Graftwood (scion),High Compliance,0.3,0.95
Tanzania,Budwood/Graftwood (scion),High Compliance,0.3,0.95
Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",High Compliance,0.3,0.95
Mexico,"Bulb, Corm, Rhizome, Tuberous Stem",High Compliance,0.3,0.95
Israel,"Bulb, Corm, Rhizome, Tuberous Stem",High Compliance,0.3,0.95
Japan,"Bulb, Corm, Rhizome, Tuberous Stem",High Compliance,0.3,0.95
New Zealand,"Bulb, Corm, Rhizome, Tuberous Stem",High Compliance,0.3,0.95
India,"Bulb, Corm, Rhizome, Tuberous Stem",High Compliance,0.3,0.95
Tanzania,"Bulb, Corm, Rhizome, Tuberous Stem",High Compliance,0.3,0.95
Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),High Compliance,0.3,0.95
Mexico,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),High Compliance,0.3,0.95
Israel,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),High Compliance,0.3,0.95
Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),High Compliance,0.3,0.95
