PRODUCER_NAME,Compliance,Detection Level,Confidence Levels
Kerry's Bromeliads,High Compliance,0.3,0.95
California Pajarosa,High Compliance,0.3,0.95
Floral Plant Growers LLC,High Compliance,0.3,0.95
"Costa Farms, LLC",High Compliance,0.3,0.95
Van de Wetering Greenhouses Inc.,High Compliance,0.3,0.95
Westland Floral Co.,High Compliance,0.3,0.95
GroLink Plant Co.,High Compliance,0.3,0.95
Rocket Farms,High Compliance,0.3,0.95
Alex R. Masson,High Compliance,0.3,0.95
Harts Nursery,High Compliance,0.3,0.95
Henry Mast Greenhouses/Masterpiece Flower Co LLC,High Compliance,0.3,0.95
Delray Plants Inc.,High Compliance,0.3,0.95
Nurserymen's Exchange,High Compliance,0.3,0.95
'Nash Greenhouses,High Compliance,0.3,0.95
Barcelo Enterprises,High Compliance,0.3,0.95
The Sun Valley Group,High Compliance,0.3,0.95
Mid-American Growers,High Compliance,0.3,0.95
Green Valley Growers,High Compliance,0.3,0.95
Kent's Bromeliads Nursery Inc.,High Compliance,0.3,0.95
O.F. Nelson & Sons Nursery Inc.,High Compliance,0.3,0.95
Milgro Nursery Inc.,High Compliance,0.3,0.95
Bailey Nurseries,High Compliance,0.3,0.95
Kitayama Brothers,High Compliance,0.3,0.95
Petitti Garden Center (Casa Verde),High Compliance,0.3,0.95
Four Star Greenhouses,High Compliance,0.3,0.95
