"Origin Location Country Name","Propagative Material type","Compliance"
"Argentina","Budwood/Graftwood (scion)","Low compliance"
"Argentina","Unrooted Cutting","Medium compliance"
"Aruba","Unrooted Cutting","Medium compliance"
"Australia","Budwood/Graftwood (scion)","Poor compliance"
"Australia","Bulb, Corm, Rhizome, Tuberous Stem","Poor compliance"
"Australia","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Australia","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Australia","Rooted Cutting (including air layer)","Low compliance"
"Australia","Rooted Plant (including grafted)","Medium compliance"
"Australia","Unrooted Cutting","Low compliance"
"Australia","Unrooted Plant","Medium compliance"
"Austria","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Austria","Rooted Plant (including grafted)","Medium compliance"
"Austria","Unrooted Cutting","Medium compliance"
"Bahamas","Rooted Plant (including grafted)","Medium compliance"
"Bangladesh","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Medium compliance"
"Bangladesh","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Barbados","Rooted Plant (including grafted)","Medium compliance"
"Belarus","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Belgium","Budwood/Graftwood (scion)","Low compliance"
"Belgium","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Belgium","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Belgium","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Belgium","Rooted Cutting (including air layer)","Medium compliance"
"Belgium","Rooted Plant (including grafted)","Medium compliance"
"Belgium","Unrooted Cutting","Medium compliance"
"Belgium","Unrooted Plant","Medium compliance"
"Belize","Rooted Plant (including grafted)","Medium compliance"
"Belize","Unrooted Plant","Medium compliance"
"Bolivia","Rooted Plant (including grafted)","Medium compliance"
"Bouvet Island (Bouvetoya)","Unrooted Cutting","Medium compliance"
"Brazil","Budwood/Graftwood (scion)","Poor compliance"
"Brazil","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Brazil","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Poor compliance"
"Brazil","Rooted Cutting (including air layer)","Poor compliance"
"Brazil","Rooted Plant (including grafted)","High compliance"
"Brazil","Unrooted Cutting","High compliance"
"Brazil","Unrooted Plant","Medium compliance"
"Bulgaria","Budwood/Graftwood (scion)","Medium compliance"
"Bulgaria","Rooted Plant (including grafted)","Medium compliance"
"Bulgaria","Unrooted Cutting","Medium compliance"
"Cameroon","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Cameroon","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Cameroon","Rooted Cutting (including air layer)","Medium compliance"
"Cameroon","Rooted Plant (including grafted)","Medium compliance"
"Cameroon","Unrooted Plant","Medium compliance"
"Canada","Budwood/Graftwood (scion)","High compliance"
"Canada","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Canada","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Medium compliance"
"Canada","Rooted Cutting (including air layer)","Medium compliance"
"Canada","Rooted Plant (including grafted)","Medium compliance"
"Canada","Unrooted Cutting","Medium compliance"
"Canada","Unrooted Plant","Medium compliance"
"Chile","Budwood/Graftwood (scion)","Low compliance"
"Chile","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Chile","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Chile","Rooted Plant (including grafted)","Medium compliance"
"Chile","Unrooted Cutting","Medium compliance"
"Chile","Unrooted Plant","Medium compliance"
"China","Budwood/Graftwood (scion)","Low compliance"
"China","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"China","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"China","Root cutting, crown, or clump, Tuberous Root","High compliance"
"China","Rooted Cutting (including air layer)","Medium compliance"
"China","Rooted Plant (including grafted)","Medium compliance"
"China","Unrooted Cutting","Medium compliance"
"China","Unrooted Plant","Medium compliance"
"Cocos (Keeling) Islands","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Medium compliance"
"Colombia","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Colombia","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Colombia","Root cutting, crown, or clump, Tuberous Root","High compliance"
"Colombia","Rooted Cutting (including air layer)","High compliance"
"Colombia","Rooted Plant (including grafted)","High compliance"
"Colombia","Unrooted Cutting","High compliance"
"Colombia","Unrooted Plant","Medium compliance"
"Congo","Unrooted Cutting","Medium compliance"
"Cook Islands","Rooted Cutting (including air layer)","Medium compliance"
"Cook Islands","Rooted Plant (including grafted)","Medium compliance"
"Cook Islands","Unrooted Plant","Medium compliance"
"Costa Rica","Budwood/Graftwood (scion)","Medium compliance"
"Costa Rica","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Costa Rica","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Costa Rica","Root cutting, crown, or clump, Tuberous Root","High compliance"
"Costa Rica","Rooted Cutting (including air layer)","Medium compliance"
"Costa Rica","Rooted Plant (including grafted)","Medium compliance"
"Costa Rica","Unrooted Cutting","Medium compliance"
"Costa Rica","Unrooted Plant","Medium compliance"
"Cote D`Ivoire","Rooted Plant (including grafted)","Medium compliance"
"Cote D`Ivoire","Unrooted Cutting","Medium compliance"
"Croatia","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Croatia","Rooted Plant (including grafted)","Medium compliance"
"Curacao","Rooted Plant (including grafted)","Medium compliance"
"Cyprus","Rooted Plant (including grafted)","Poor compliance"
"Cyprus","Unrooted Plant","Medium compliance"
"Czech Republic","Budwood/Graftwood (scion)","Poor compliance"
"Czech Republic","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Czech Republic","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Czech Republic","Rooted Cutting (including air layer)","Low compliance"
"Czech Republic","Rooted Plant (including grafted)","Medium compliance"
"Czech Republic","Unrooted Cutting","Medium compliance"
"Czech Republic","Unrooted Plant","Medium compliance"
"Denmark","Bulb, Corm, Rhizome, Tuberous Stem","High compliance"
"Denmark","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Medium compliance"
"Denmark","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Denmark","Rooted Cutting (including air layer)","Low compliance"
"Denmark","Rooted Plant (including grafted)","Poor compliance"
"Denmark","Unrooted Cutting","Medium compliance"
"Denmark","Unrooted Plant","Medium compliance"
"Dominican Republic","Budwood/Graftwood (scion)","Low compliance"
"Dominican Republic","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Dominican Republic","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Dominican Republic","Root cutting, crown, or clump, Tuberous Root","High compliance"
"Dominican Republic","Rooted Cutting (including air layer)","Medium compliance"
"Dominican Republic","Rooted Plant (including grafted)","Medium compliance"
"Dominican Republic","Unrooted Cutting","Medium compliance"
"Dominican Republic","Unrooted Plant","Medium compliance"
"Ecuador","Budwood/Graftwood (scion)","High compliance"
"Ecuador","Bulb, Corm, Rhizome, Tuberous Stem","Poor compliance"
"Ecuador","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Ecuador","Root cutting, crown, or clump, Tuberous Root","High compliance"
"Ecuador","Rooted Cutting (including air layer)","High compliance"
