INSPECTION_ID,COUNTRY_OF_ORIGIN_NAME,IMPORTER_NAME,PRODUCER_NAME,PROPAGATIVE_MATERIAL_TYPE,QUANTITY,BROKER_NAME,INSPECTION_LOCATION_NAME,PATHWAY,INSPECTION_NUMBER,action,RISK_UNIT,TOTAL_SAMPLING_UNITS_FOR_RISK_UNIT,SAMPLING_UNITS_FOR_INSPECTION_UNIT,REQUIRED_NUMBER_OF_BOXES
1,Ecuador,FAKE IMPORTER 29,Unknown,Rooted Plant (including grafted),3900,FAKE BROKER 19,PIS 1,Pathway 1,INS_1000,0,1_1,15,15,9
2,Jamaica,FAKE IMPORTER 30,Fidel Castro's Shell Company,Unrooted Cutting,3200,FAKE BROKER 38,PIS 1,Pathway 1,INS_103,0,2_1,233,1,8
3,Indonesia,FAKE IMPORTER 34,Unknown,Unrooted Cutting,80000,FAKE BROKER 10,PIS 2,Pathway 1,INS_107,0,3_1,203,4,18
4,Vietnam,FAKE IMPORTER 22,Unknown,Unrooted Cutting,67700,FAKE BROKER 35,PIS 3,Pathway 1,INS_127,0,4_1,16,6,7
5,Belgium,FAKE IMPORTER 44,Unknown,Unrooted Cutting,10020,FAKE BROKER 34,PIS 3,Pathway 1,INS_140,0,5_1,19,2,2
5,Belgium,FAKE IMPORTER 11,Unknown,Unrooted Cutting,4400,FAKE BROKER 39,PIS 3,Pathway 1,INS_140,0,5_1,19,2,2
5,Belgium,FAKE IMPORTER 9,Unknown,Unrooted Cutting,33000,FAKE BROKER 43,PIS 3,Pathway 1,INS_140,0,5_1,19,2,2
6,Vietnam,FAKE IMPORTER 17,Unknown,Unrooted Cutting,200,FAKE BROKER 30,PIS 1,Pathway 1,INS_150,0,6_1,92,1,8
7,Venezuela,FAKE IMPORTER 19,Unknown,Rooted Plant (including grafted),3000,FAKE BROKER 3,PIS 1,Pathway 1,INS_164,0,7_1,401,10,18
7,Venezuela,FAKE IMPORTER 17,Unknown,Rooted Plant (including grafted),3000,FAKE BROKER 32,PIS 1,Pathway 1,INS_164,0,7_1,401,10,18
7,Venezuela,FAKE IMPORTER 9,Unknown,Rooted Plant (including grafted),17789,FAKE BROKER 19,PIS 1,Pathway 1,INS_164,0,7_1,401,2,18
8,Panama,FAKE IMPORTER 28,Unknown,Unrooted Cutting,8,FAKE BROKER 37,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 20,Unknown,Unrooted Cutting,1,FAKE BROKER 24,PIS 1,Pathway 1,INS_174,0,8_1,57,4,16
8,Panama,FAKE IMPORTER 18,Unknown,Unrooted Cutting,5,FAKE BROKER 23,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 40,Unknown,Unrooted Cutting,82,FAKE BROKER 10,PIS 1,Pathway 1,INS_174,0,8_1,57,3,16
8,Panama,FAKE IMPORTER 49,Unknown,Unrooted Cutting,1,FAKE BROKER 23,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 29,Unknown,Unrooted Cutting,1,FAKE BROKER 38,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 25,Unknown,Unrooted Cutting,2,FAKE BROKER 38,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 20,Unknown,Unrooted Cutting,7,FAKE BROKER 15,PIS 1,Pathway 1,INS_174,0,8_1,57,4,16
8,Panama,FAKE IMPORTER 42,Unknown,Unrooted Cutting,1,FAKE BROKER 32,PIS 1,Pathway 1,INS_174,0,8_1,57,6,16
8,Panama,FAKE IMPORTER 37,Unknown,Unrooted Cutting,136,FAKE BROKER 41,PIS 1,Pathway 1,INS_174,0,8_1,57,9,16
8,Panama,FAKE IMPORTER 36,Unknown,Unrooted Cutting,1,FAKE BROKER 19,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 36,Unknown,Unrooted Cutting,3156,FAKE BROKER 33,PIS 1,Pathway 1,INS_174,0,8_1,57,9,16
8,Panama,FAKE IMPORTER 39,Unknown,Unrooted Cutting,72,FAKE BROKER 40,PIS 1,Pathway 1,INS_174,0,8_1,57,21,16
8,Panama,FAKE IMPORTER 43,Unknown,Unrooted Cutting,15,FAKE BROKER 30,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 14,Unknown,Unrooted Cutting,1,FAKE BROKER 43,PIS 1,Pathway 1,INS_174,0,8_1,57,21,16
8,Panama,FAKE IMPORTER 46,Unknown,Unrooted Cutting,10,FAKE BROKER 28,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 17,Unknown,Unrooted Cutting,50,FAKE BROKER 51,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 29,Unknown,Unrooted Cutting,28,FAKE BROKER 39,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 44,Unknown,Unrooted Cutting,2,FAKE BROKER 12,PIS 1,Pathway 1,INS_174,0,8_1,57,3,16
