Origin Location Country Name,Propagative Material type,Producer,Compliance
Colombia,Unrooted Cutting,Floral Flowers JD Powers,High compliance
Colombia,Unrooted Cutting,Unknown,High compliance
Congo,Unrooted Cutting,Unknown,High compliance
Ecuador,Rooted Plant (including grafted),Hocus Pocus Locusts,High compliance
Ecuador,Unrooted Cutting,Plant Inventions Ecuadora 1-4,High compliance
Jamaica,Unrooted Cutting,Ugly Duckling Jamaica,High compliance
Jamaica,Unrooted Cutting,Unknown,High compliance
Jamaica,Unrooted Cutting,ALL CAPS PLANTS,High compliance
Malaysia,Rooted Plant (including grafted),Unknown,High compliance
Nicaragua,Rooted Plant (including grafted),El Poco Loco,High compliance
St Kitts and Nevis,Unrooted Cutting,Hamilton Farms Co,High compliance
St Kitts and Nevis,Unrooted Plant,Bob Costa Ranch,High compliance
Venezuela,Unrooted Cutting,LLAMA CAFE SA,High compliance
Venezuela,Unrooted Cutting,LLAMA CAFE S A,High compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Unknown,High compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Acupuncture Traditions LTD,High compliance
Vietnam,Rooted Plant (including grafted),Not Selected,High compliance
Vietnam,Rooted Plant (including grafted),Greenhouse Corp,High compliance
Vietnam,Rooted Plant (including grafted),VIETNAM BEST SOUP CO LTD,High compliance
Vietnam,Rooted Plant (including grafted),Unknown,High compliance
Bhutan,Rooted Plant (including grafted),Unknown,Low compliance
Bhutan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Running Man Plants PVT,Low compliance
Chile,Rooted Plant (including grafted),TGI Mondays,Low compliance
Colombia,Unrooted Cutting,Unknown,Low compliance
Congo,Unrooted Cutting,Unknown,Low compliance
Congo,Unrooted Cutting,LANDFALL BEAUTY LTD,Low compliance
Ecuador,Unrooted Cutting,Plant Inventions Ecuadora,Low compliance
Ecuador,Unrooted Cutting,Mediocre Plants SA,Low compliance
Jamaica,Unrooted Cutting,Unknown,Low compliance
Jamaica,Unrooted Cutting,Fidel Castro's Shell Company,Low compliance
Jamaica,Unrooted Cutting,ALL CAPS PLANTS,Low compliance
Lithuania,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Unknown,Low compliance
Malaysia,Rooted Plant (including grafted),Unknown,Low compliance
Nicaragua,Rooted Plant (including grafted),El Poco Loco,Low compliance
Panama,Unrooted Cutting,Unknown,Low compliance
St Kitts and Nevis,Unrooted Cutting,Hamilton Farms Co,Low compliance
Thailand,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),BANGKOKS BEST,Low compliance
United Arab Emirates,Unrooted Cutting,Unknown,Low compliance
Venezuela,Unrooted Cutting,LLAMA CAFE,Low compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Acupuncture Traditions LTD,Low compliance
Vietnam,Rooted Plant (including grafted),Greenhouse Corp,Low compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Unknown,Low compliance
Vietnam,Rooted Plant (including grafted),VIETNAM BEST SOUP CO LTD,Low compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Greenhouse Centre Corp,Low compliance
Argentina,Unrooted Cutting,Flower Power Sixty,Medium compliance
Belgium,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),IN VITRO VITALITY,Medium compliance
Bhutan,Rooted Plant (including grafted),Unknown,Medium compliance
Bhutan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Spectacular Plants PVT,Medium compliance
Bhutan,"Root cutting, crown, or clump, Tuberous Root",Not Selected,Medium compliance
Bhutan,Rooted Plant (including grafted),Not Selected,Medium compliance
Colombia,Unrooted Cutting,POKER INTERNACIONAL MEXICO S,Medium compliance
Colombia,Unrooted Cutting,Floral Flowers JD Powers,Medium compliance
Colombia,Unrooted Cutting,VIVIANS INTERNATIONAL MAN,Medium compliance
Colombia,Unrooted Cutting,Floral Flowers J.D. Powers,Medium compliance
Colombia,Unrooted Cutting,Ben Affleck Argo,Medium compliance
Colombia,Unrooted Cutting,POKER INTERNATIONAL MEXICO,Medium compliance
Colombia,Unrooted Cutting,POKER INTERNATIONAL,Medium compliance
Colombia,Unrooted Cutting,Unknown,Medium compliance
Congo,Unrooted Cutting,Unknown,Medium compliance
Congo,Unrooted Cutting,Not Selected,Medium compliance
Congo,Unrooted Cutting,LANDFALL BEAUTY LTD,Medium compliance
Congo,Unrooted Cutting,LANDFALL BEAUTY LTM,Medium compliance
Ecuador,Unrooted Cutting,Mediocre Plants SA,Medium compliance
