INSPECTION_NUMBER,INSPECTION_LOCATION_NAME,PATHWAY,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY,PRODUCER
INS-6127,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",263,18879,Rocket Farms
INS-8544,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",46,470,White's Nursery & Greenhouses Inc.
INS-6098,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",25,5,Grower Direct Farms
INS-6636,Miami PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),506,24161,DeLeon's Bromeliads
INS-3963,Miami PIS,Train,Japan,"Root cutting, crown, or clump, Tuberous Root",148,1859,Ocean Breeze International
INS-4122,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),985,23575,Aris (formerly Yoder Brothers)
INS-3762,Miami PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),484,36959,Bay City Flowers
INS-6498,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",544,31596,Kawahara Nurseries
INS-5618,Miami PIS,Air,India,Budwood/Graftwood (scion),485,26583,Battlefield Farms
INS-9423,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",738,11579,Kitayama Brothers
INS-5891,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),577,16663,Sawyer Nursery
INS-9803,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",758,25844,Green Valley Growers
INS-9228,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),213,122,Welby Gardens Co. Inc.
INS-4310,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",603,12850,The Sun Valley Group
INS-7546,Miami PIS,Air,Japan,Budwood/Graftwood (scion),108,10451,Welby Gardens Co. Inc.
INS-4729,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),171,13298,Color Star Growers
INS-7783,Miami PIS,Air,New Zeland,"Root cutting, crown, or clump, Tuberous Root",29,1782,Nurserymen's Exchange
INS-3607,Miami PIS,Train,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),238,14613,"Costa Farms, LLC"
INS-6666,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",37,3662,Kent's Bromeliads Nursery Inc.
INS-4734,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),187,2845,Myriad Flowers International
INS-6025,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",644,59380,White's Nursery & Greenhouses Inc.
INS-1721,Miami PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",776,29583,Gallup & Stribling Orchids Inc.
INS-8506,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),952,92436,California Pajarosa
INS-5177,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",340,24000,Green Valley Growers
INS-7745,Miami PIS,Air,India,Budwood/Graftwood (scion),238,19392,Heartland Growers
INS-1983,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",751,9985,Westland Floral Co.
INS-4799,Miami PIS,Air,Netherlands,Budwood/Graftwood (scion),487,437,Polk Nursery Company Inc.
INS-6977,Miami PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",233,21771,Twixwood Nursery LLC
INS-5801,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),883,22933,Post Gardens Inc.
INS-4362,Miami PIS,Train,Japan,"Root cutting, crown, or clump, Tuberous Root",724,64364,"Bergen's Greenhouses, Inc."
INS-9099,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",200,14270,Barcelo Enterprises
INS-7759,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",779,48835,"B&H Flowers, Inc."
INS-2243,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),200,12894,Grower Direct Farms
INS-2658,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",54,1513,Dewar Nurseries
INS-6733,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",69,3112,Timberline Nursery Inc.
INS-4637,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",186,16498,Twixwood Nursery LLC
INS-2186,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",96,4372,Petitti Garden Center (Casa Verde)
INS-2055,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),292,28878,The Sun Valley Group
INS-1194,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),314,25352,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-2894,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",5,395,Burgett Geothermal Greenhouses
INS-4622,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),632,50012,"Young's Plant Farm, Inc."
INS-6361,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",932,89745,Sawyer Nursery
INS-4443,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",321,31657,Delray Plants Inc.
INS-5114,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",331,18009,Sawyer Nursery
INS-3015,Miami PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),369,20200,Color Star Growers
INS-8805,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",474,40010,Gallup & Stribling Orchids Inc.
INS-5082,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),486,43359,Hines Horticulture
INS-3453,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),857,44873,Dewar Nurseries
INS-6624,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),806,46581,Kitayama Brothers
INS-7035,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",750,25252,Milgro Nursery Inc.
INS-5871,Miami PIS,Air,Japan,Budwood/Graftwood (scion),841,71205,Pacifica Flowers
INS-6577,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",227,10953,Dramm & Echter Inc.
