INSPECTION_NUMBER,INSPECTION_LOCATION_NAME,PATHWAY,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY,PRODUCER
INS-8032,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",935,9003,Barcelo Enterprises
INS-4804,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),638,24613,Pacifica Flowers
INS-8831,Los Angeles PIS,Truck,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),39,1442,White's Nursery & Greenhouses Inc.
INS-7245,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",721,2772,"Olive Hill Greenhouses, Inc."
INS-1786,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),693,20096,"Farmers' West Flowers & Bouquets, Inc."
INS-9803,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",758,25844,Green Valley Growers
INS-7772,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",674,37896,Maria Gardens Greenhouses Inc.
INS-8153,Los Angeles PIS,Sea,Netherlands,Budwood/Graftwood (scion),678,36779,DeLeon's Bromeliads
INS-2060,Atlanta PIS,Air,Japan,Budwood/Graftwood (scion),329,1756,Tagawa Greenhouses
INS-4922,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",68,5888,Harts Nursery
INS-4362,Miami PIS,Train,Japan,"Root cutting, crown, or clump, Tuberous Root",724,64364,"Bergen's Greenhouses, Inc."
INS-9310,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",393,30107,Maria Gardens Greenhouses Inc.
INS-6813,Los Angeles PIS,Sea,Netherlands,Budwood/Graftwood (scion),774,31237,Lucas Greenhouses
INS-8513,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),67,4387,Kawahara Nurseries
INS-4819,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),463,39809,Pacifica Flowers
INS-3073,Miami PIS,Sea,New Zeland,Budwood/Graftwood (scion),968,76215,O.F. Nelson & Sons Nursery Inc.
INS-6106,Miami PIS,Sea,New Zeland,Budwood/Graftwood (scion),477,25781,"Stacy's Greenhouses, Inc."
INS-1438,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",723,22467,Van Wingerden International Inc.
INS-8562,Atlanta PIS,Air,India,Budwood/Graftwood (scion),620,39210,"Matsui Nursery, Inc."
INS-6713,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",973,35327,O.F. Nelson & Sons Nursery Inc.
INS-7745,Miami PIS,Air,India,Budwood/Graftwood (scion),238,19392,Heartland Growers
INS-4189,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",791,38357,El Modeno Gardens Inc.
INS-9717,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),950,59437,Kent's Bromeliads Nursery Inc.
INS-9067,Los Angeles PIS,Sea,New Zeland,Budwood/Graftwood (scion),835,76569,Ocean Breeze International
INS-8079,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),638,25889,"Matsui Nursery, Inc."
INS-2620,Miami PIS,Sea,New Zeland,Budwood/Graftwood (scion),300,28618,Dallas Johnson Greenhouses
INS-5147,Los Angeles PIS,Air,Netherlands,"Root cutting, crown, or clump, Tuberous Root",610,22980,Dramm & Echter Inc.
INS-1298,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),2,148,Operation
INS-2293,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",971,63679,Alex R. Masson
INS-7073,Atlanta PIS,Train,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),749,13492,Timberline Nursery Inc.
INS-7630,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),777,37348,Van de Wetering Greenhouses Inc.
INS-9698,Atlanta PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",17,1281,Welby Gardens Co. Inc.
INS-3963,Miami PIS,Train,Japan,"Root cutting, crown, or clump, Tuberous Root",148,1859,Ocean Breeze International
INS-4362,Miami PIS,Train,Japan,"Root cutting, crown, or clump, Tuberous Root",724,64364,"Bergen's Greenhouses, Inc."
INS-5156,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),37,1922,Paul Ecke Ranch
INS-2582,Atlanta PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",577,31405,Bob's Market & Greenhouses Inc.
INS-2103,Atlanta PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",445,26548,Westland Floral Co.
INS-5197,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",875,6563,Floral Plant Growers LLC
INS-3073,Miami PIS,Sea,New Zeland,Budwood/Graftwood (scion),968,76215,O.F. Nelson & Sons Nursery Inc.
INS-7018,Los Angeles PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",270,12829,Milgro Nursery Inc.
INS-4799,Miami PIS,Air,Netherlands,Budwood/Graftwood (scion),487,437,Polk Nursery Company Inc.
INS-8575,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",276,9669,Kitayama Brothers
INS-7269,Miami PIS,Train,Netherlands,"Root cutting, crown, or clump, Tuberous Root",623,21966,Lucas Greenhouses
INS-3868,Los Angeles PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",964,79296,Mid-American Growers
INS-8575,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",276,9669,Kitayama Brothers
INS-8372,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),638,51602,Floral Plant Growers LLC
INS-4451,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),204,4932,Twixwood Nursery LLC
INS-3620,Atlanta PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",763,43708,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-7064,Atlanta PIS,Air,Japan,Budwood/Graftwood (scion),23,2091,Dan Schantz Farm
INS-2184,Miami PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",194,17208,Kent's Bromeliads Nursery Inc.
INS-2658,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",54,1513,Dewar Nurseries
INS-1061,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",177,3219,Kerry's Bromeliads
INS-8153,Los Angeles PIS,Sea,Netherlands,Budwood/Graftwood (scion),678,36779,DeLeon's Bromeliads
INS-6966,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),973,19916,Heartland Growers
INS-7331,Atlanta PIS,Air,Netherlands,Budwood/Graftwood (scion),316,25507,"Bergen's Greenhouses, Inc."
INS-8085,Miami PIS,Air,India,Budwood/Graftwood (scion),40,881,Northwest Horticulture
INS-4982,Miami PIS,Train,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",945,47447,Paul Ecke Ranch
INS-6172,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),242,9861,Valley Flowers
INS-2184,Miami PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",194,17208,Kent's Bromeliads Nursery Inc.
INS-1897,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",385,35101,Operation
INS-6977,Miami PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",233,21771,Twixwood Nursery LLC
INS-5167,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",72,3384,California Pajarosa
INS-6155,Los Angeles PIS,Train,Japan,Budwood/Graftwood (scion),851,13775,Rocket Farms
INS-7783,Miami PIS,Air,New Zeland,"Root cutting, crown, or clump, Tuberous Root",29,1782,Nurserymen's Exchange
INS-6733,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",69,3112,Timberline Nursery Inc.
INS-6102,Los Angeles PIS,Train,New Zeland,"Root cutting, crown, or clump, Tuberous Root",578,34423,Nurserymen's Exchange
INS-6127,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",263,18879,Rocket Farms
INS-3818,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),789,36930,California Pajarosa
INS-1220,Miami PIS,Train,India,"Bulb, Corm, Rhizome, Tuberous Stem",925,35837,Armstrong Growers
INS-4799,Miami PIS,Air,Netherlands,Budwood/Graftwood (scion),487,437,Polk Nursery Company Inc.
INS-2894,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",5,395,Burgett Geothermal Greenhouses
INS-4637,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",186,16498,Twixwood Nursery LLC
INS-8774,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),278,7060,Dan Schantz Farm
INS-3102,Miami PIS,Air,Netherlands,"Root cutting, crown, or clump, Tuberous Root",7,348,Green Circle Growers
INS-1418,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",814,37729,"Matsui Nursery, Inc."
INS-3607,Atlanta PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",311,30612,Van de Wetering Greenhouses Inc.
INS-3692,Miami PIS,Air,India,Budwood/Graftwood (scion),809,60588,Plant Marketing LLC
INS-6941,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),58,1668,Altman Plants
INS-6127,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),443,7557,Alex R. Masson
INS-8148,Los Angeles PIS,Truck,India,"Root cutting, crown, or clump, Tuberous Root",271,3019,"Young's Plant Farm, Inc."
INS-6947,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),669,32657,Colorama Wholesale Nursery
INS-4622,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),632,50012,"Young's Plant Farm, Inc."
INS-8475,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",284,12911,The Sun Valley Group
INS-2382,Los Angeles PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),55,5429,"Costa Farms, LLC"
INS-1185,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",70,6820,Westland Floral Co.
INS-1721,Miami PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",776,29583,Gallup & Stribling Orchids Inc.
INS-7507,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",721,32996,Clearwater Nursery
INS-5082,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),486,43359,Hines Horticulture
INS-2355,Miami PIS,Sea,Netherlands,Budwood/Graftwood (scion),8,70,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-5540,Atlanta PIS,Air,New Zeland,Budwood/Graftwood (scion),215,19631,Van de Wetering Greenhouses Inc.
INS-2266,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",382,1726,Mid-American Growers
INS-7207,Atlanta PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",911,23763,Aldershot of New Mexico Inc.
INS-4873,Los Angeles PIS,Train,New Zeland,Budwood/Graftwood (scion),527,7158,Northwest Horticulture
INS-4428,Atlanta PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),896,88864,Nurserymen's Exchange
INS-3762,Miami PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),484,36959,Bay City Flowers
INS-6700,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",930,69658,Kerry's Bromeliads
INS-4273,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",270,8730,Kube-Pak
INS-1712,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),119,153,Hermann Engelmann Greenhouses
INS-1908,Los Angeles PIS,Train,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),478,43247,"Stacy's Greenhouses, Inc."
INS-9669,Atlanta PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",519,36651,Paul Ecke Ranch
INS-9183,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),342,30676,Operation
INS-7269,Miami PIS,Train,Netherlands,"Root cutting, crown, or clump, Tuberous Root",623,21966,Lucas Greenhouses
INS-3460,Los Angeles PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),848,69868,Dewar Nurseries
INS-9701,Atlanta PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),607,47712,"Farmers' West Flowers & Bouquets, Inc."
INS-8079,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),638,25889,"Matsui Nursery, Inc."
INS-7484,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),41,1475,Altman Plants
INS-4891,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",486,15505,Valley Flowers
INS-3562,Miami PIS,Sea,Netherlands,"Root cutting, crown, or clump, Tuberous Root",959,37651,Maria Gardens Greenhouses Inc.
INS-1815,Atlanta PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",716,25750,Floral Plant Growers LLC
INS-9163,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),829,75205,"Costa Farms, LLC"
INS-4962,Los Angeles PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",633,16155,Heartland Growers
INS-2790,Atlanta PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",344,33883,Welby Gardens Co. Inc.
INS-3831,Atlanta PIS,Air,Netherlands,Budwood/Graftwood (scion),554,51737,Grower Direct Farms
INS-6265,Miami PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",261,6067,Rocket Farms
INS-2441,Atlanta PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",453,17498,Kent's Bromeliads Nursery Inc.
INS-8805,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",474,40010,Gallup & Stribling Orchids Inc.
INS-7745,Miami PIS,Air,India,Budwood/Graftwood (scion),238,19392,Heartland Growers
INS-7504,Los Angeles PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",166,14485,Metrolina Greenhouses
INS-4772,Los Angeles PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),242,16297,Colorama Wholesale Nursery
INS-6677,Miami PIS,Train,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",743,38210,O.F. Nelson & Sons Nursery Inc.
INS-6296,Miami PIS,Air,New Zeland,"Root cutting, crown, or clump, Tuberous Root",323,11735,The Sun Valley Group
INS-6833,Los Angeles PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",419,32983,Burgett Geothermal Greenhouses
INS-1709,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),788,23678,N.G. Heimos Greenhouses
INS-4681,Los Angeles PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),771,57772,Alex R. Masson
INS-1255,Los Angeles PIS,Sea,Netherlands,Budwood/Graftwood (scion),683,11499,Panzer Nursery
INS-5304,Atlanta PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),187,9039,Kurt Weiss Greenhouses
INS-3968,Miami PIS,Train,India,"Root cutting, crown, or clump, Tuberous Root",343,2878,Operation
INS-2187,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),265,19576,Pacifica Flowers
INS-1848,Los Angeles PIS,Train,Japan,"Root cutting, crown, or clump, Tuberous Root",243,20554,Sunshine Floral Inc.
INS-6378,Los Angeles PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),191,5827,GroLink Plant Co.
INS-2399,Miami PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",617,20440,Rocket Farms
INS-9265,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",893,8169,Elzinga & Hoeksema Greenhouses
INS-6287,Miami PIS,Air,India,Budwood/Graftwood (scion),302,14741,Van de Wetering Greenhouses Inc.
INS-4062,Los Angeles PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",949,29869,Sunshine Floral Inc.
INS-6405,Atlanta PIS,Air,Japan,Budwood/Graftwood (scion),895,32472,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-1185,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",70,6820,Westland Floral Co.
INS-9632,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",597,9105,Westland Floral Co.
INS-5233,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",861,27826,Rockwell Farms Inc.
INS-8142,Los Angeles PIS,Sea,India,Budwood/Graftwood (scion),672,19350,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-1703,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),317,20382,DeLeon's Bromeliads
INS-5273,Miami PIS,Train,Japan,Budwood/Graftwood (scion),811,3444,Gallup & Stribling Orchids Inc.
INS-5293,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),838,18571,Dallas Johnson Greenhouses
INS-9468,Miami PIS,Train,New Zeland,"Root cutting, crown, or clump, Tuberous Root",582,43077,Delray Plants Inc.
INS-6207,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",348,8665,Altman Plants
INS-5177,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",340,24000,Green Valley Growers
INS-3460,Los Angeles PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),848,69868,Dewar Nurseries
INS-3993,Miami PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",717,30272,Timberline Nursery Inc.
INS-5706,Atlanta PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",628,27141,Armstrong Growers
INS-4804,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),638,24613,Pacifica Flowers
INS-1183,Atlanta PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),196,12962,DeLeon's Bromeliads
INS-8550,Los Angeles PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),437,11551,Alex R. Masson
INS-9111,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),1,38,Bell Nursery
INS-2184,Miami PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",194,17208,Kent's Bromeliads Nursery Inc.
INS-6102,Los Angeles PIS,Train,New Zeland,"Root cutting, crown, or clump, Tuberous Root",578,34423,Nurserymen's Exchange
INS-1876,Miami PIS,Sea,New Zeland,Budwood/Graftwood (scion),252,15658,Four Star Greenhouses
INS-7034,Miami PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),522,15687,El Modeno Gardens Inc.
INS-3607,Atlanta PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",311,30612,Van de Wetering Greenhouses Inc.
INS-6917,Miami PIS,Air,Japan,Budwood/Graftwood (scion),623,32893,Kitayama Brothers
INS-7533,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",884,65709,Hermann Engelmann Greenhouses
