INSPECTION_NUMBER,INSPECTION_LOCATION_NAME,PATHWAY,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY
FLMIA23070503,Beltsville PIS,Ambiguous Pathway,New Zealand,Unrooted Cutting,1914,61156
FLMIA25010720,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Peru,Unrooted Cutting,139,391571
GAATL23060097,Carolina PIS,Airport - Aircraft - Cargo - PIS,Peru,Unrooted Cutting,1,2
FLMIA23120072,Houston PIS,Airport - Aircraft - Cargo - PIS,Nigeria,Unrooted Cutting,83,229945
GAATL23120244,JFK PIS,Airport - Aircraft - Cargo - PIS,Algeria,"Root cutting, crown, or clump, Tuberous Root",15,16
FLMIA25060430,Miami PIS,Airport - Aircraft - Cargo - PIS,Uganda,Unrooted Cutting,24,25
GAATL23010255,JFK PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Cutting (including air layer),18,32855
FLMIA24021339,Miami PIS,Airport - Aircraft - Cargo - PIS,Ireland,"Root cutting, crown, or clump, Tuberous Root",1,47425
FLMIA24030877,Honolulu PIS,Airport - Aircraft - Cargo - PIS,Croatia,"Root cutting, crown, or clump, Tuberous Root",5,6
FLMIA23100209,JFK PIS,Airport - Aircraft - Cargo - PIS,Philippines,"Root cutting, crown, or clump, Tuberous Root",39,40
FLMIA25021256,Miami PIS,Airport - Aircraft - Cargo - PIS,Czech Republic,Unrooted Cutting,49,297392
FLMIA23090466,Miami PIS,Airport - Aircraft - Cargo - PIS,Belgium,Unrooted Cutting,1,2
FLMIA24030930,Miami PIS,Airport - Aircraft - Cargo - PIS,Indonesia,Unrooted Cutting,119,215629
FLMIA23070460,Miami PIS,Airport - Aircraft - Cargo - PIS,Germany,Unrooted Cutting,66,225199
AZNOG22070003,Los Angeles PIS,Maritime Port - Vessel - Cargo - PIS,Zimbabwe,Rooted Plant (including grafted),740,31317
FLMIA24030624,Los Angeles PIS,Maritime Port - Vessel - Cargo - PIS,Morocco,Rooted Plant (including grafted),444,33022
AZNOG22080018,Linden PIS,Maritime Port - Vessel - Cargo - PIS,Nepal,Unrooted Cutting,711,50893
FLMIA24110886,Miami PIS,Airport - Aircraft - Cargo - PIS,"Korea, South",Unrooted Plant,3,4
FLMIA24070740,Miami PIS,Airport - Aircraft - Cargo - PIS,Morocco,Unrooted Plant,53,29024
FLMIA24071062,Miami PIS,Airport - Aircraft - Cargo - PIS,"Korea, North",Unrooted Plant,1,38488
