consignment_id,total_sample_units,contaminated_units,total_contamination_count,inspected_units,true_positives,false_negatives,false_positives,true_negatives,is_contaminated,is_detected,inspection_rate,detection_rate
1,925,0,0,148,0,0,148,777,False,False,16.0,0.0
2,960,0,0,148,0,0,148,812,False,False,15.416666666666668,0.0
3,149,0,0,99,0,0,99,50,False,False,66.44295302013423,0.0
4,177,0,0,106,0,0,106,71,False,False,59.887005649717516,0.0
5,443,0,0,135,0,0,135,308,False,False,30.474040632054177,0.0
6,585,0,0,141,0,0,141,444,False,False,24.102564102564102,0.0
7,3,0,0,3,0,0,3,0,False,False,100.0,0.0
8,781,0,0,145,0,0,145,636,False,False,18.56594110115237,0.0
9,431,40,554,134,14,26,120,271,True,True,31.09048723897912,35.0
10,657,0,0,143,0,0,143,514,False,False,21.765601217656013,0.0
11,196,0,0,110,0,0,110,86,False,False,56.12244897959183,0.0
12,70,0,0,64,0,0,64,6,False,False,91.42857142857143,0.0
13,314,0,0,126,0,0,126,188,False,False,40.12738853503185,0.0
14,178,0,0,106,0,0,106,72,False,False,59.55056179775281,0.0
15,316,0,0,126,0,0,126,190,False,False,39.87341772151899,0.0
16,925,0,0,148,0,0,148,777,False,False,16.0,0.0
17,43,0,0,43,0,0,43,0,False,False,100.0,0.0
18,563,0,0,140,0,0,140,423,False,False,24.866785079928952,0.0
19,655,0,0,143,0,0,143,512,False,False,21.83206106870229,0.0
20,616,0,0,142,0,0,142,474,False,False,23.051948051948052,0.0
21,683,0,0,143,0,0,143,540,False,False,20.937042459736457,0.0
22,2,0,0,2,0,0,2,0,False,False,100.0,0.0
23,29,0,0,29,0,0,29,0,False,False,100.0,0.0
24,979,587,37238,148,99,488,49,343,True,True,15.117466802860061,16.86541737649063
25,282,0,0,123,0,0,123,159,False,False,43.61702127659575,0.0
26,870,0,0,147,0,0,147,723,False,False,16.896551724137932,0.0
27,50,0,0,49,0,0,49,1,False,False,98.0,0.0
28,335,0,0,128,0,0,128,207,False,False,38.2089552238806,0.0
29,411,0,0,133,0,0,133,278,False,False,32.360097323600975,0.0
30,814,0,0,146,0,0,146,668,False,False,17.936117936117938,0.0
31,333,0,0,128,0,0,128,205,False,False,38.43843843843844,0.0
32,723,0,0,144,0,0,144,579,False,False,19.91701244813278,0.0
33,297,0,0,124,0,0,124,173,False,False,41.75084175084175,0.0
34,180,0,0,107,0,0,107,73,False,False,59.44444444444444,0.0
35,875,0,0,147,0,0,147,728,False,False,16.8,0.0
36,888,0,0,147,0,0,147,741,False,False,16.554054054054053,0.0
37,572,0,0,140,0,0,140,432,False,False,24.475524475524477,0.0
38,366,0,0,130,0,0,130,236,False,False,35.51912568306011,0.0
39,83,0,0,72,0,0,72,11,False,False,86.74698795180723,0.0
40,292,0,0,124,0,0,124,168,False,False,42.465753424657535,0.0
41,235,0,0,117,0,0,117,118,False,False,49.787234042553195,0.0
42,317,0,0,126,0,0,126,191,False,False,39.74763406940063,0.0
43,788,0,0,145,0,0,145,643,False,False,18.401015228426395,0.0
44,119,0,0,89,0,0,89,30,False,False,74.78991596638656,0.0
45,776,0,0,145,0,0,145,631,False,False,18.685567010309278,0.0
46,350,0,0,129,0,0,129,221,False,False,36.857142857142854,0.0
47,693,0,0,144,0,0,144,549,False,False,20.77922077922078,0.0
48,891,145,7466,147,19,126,128,618,True,True,16.4983164983165,13.10344827586207
49,716,0,0,144,0,0,144,572,False,False,20.11173184357542,0.0
50,183,0,0,107,0,0,107,76,False,False,58.46994535519126,0.0
