contamination/contamination_unit,contamination/contamination_rate/distribution,contamination/contamination_rate/value,contamination/arrangement,inspection/sample_strategy,inspection/proportion/value,inspection/tolerance_level,name,num_inspections,intercepted,false_neg,missing,true_contamination_rate,avg_missed_contamination_rate,max_missed_contamination_rate,total_missed_contaminants,total_intercepted_contaminants
sample_unit,fixed_value,0.01,random,rbs,0.02,0.005,pis low contamination random,20.0,18.0,0.0,0.0,0.009160463741439525,,,0.0,0.0
sample_unit,fixed_value,0.05,random,rbs,0.02,0.005,pis medium contamination random,20.0,19.0,0.0,0.0,0.04774970733834402,,,0.0,0.0
sample_unit,fixed_value,0.1,random,rbs,0.02,0.005,pis high contamination random,20.0,19.0,0.0,0.0,0.09484545448266872,,,0.0,0.0
sample_unit,beta,0.027,random,rbs,0.02,0.005,pis beta contamination random,20.0,2.6666666666666665,0.0,0.0,0.007668161518329295,,,0.0,0.0
sample_unit,fixed_value,0.08,random,rbs,0.02,0.005,pis country targeted japan,20.0,19.0,0.0,0.0,0.07557464563571248,,,0.0,0.0
sample_unit,fixed_value,0.06,random,rbs,0.02,0.005,pis country targeted netherlands,20.0,19.0,0.0,0.0,0.05776278207961114,,,0.0,0.0
sample_unit,fixed_value,0.15,random,rbs,0.05,0.005,pis small consignments,20.0,19.0,0.0,0.0,0.14150361970235617,,,0.0,0.0
sample_unit,fixed_value,0.02,random,rbs,0.01,0.005,pis large consignments,20.0,19.0,0.0,0.0,0.019040546375293628,,,0.0,0.0
sample_unit,fixed_value,0.03,random,rbs,0.02,0.005,pis realistic outbreak,20.0,19.0,0.0,0.0,0.02768171298617485,,,0.0,0.0
sample_unit,fixed_value,0.005,random,rbs,0.02,0.005,pis detection threshold,20.0,17.0,0.0,0.0,0.00452744037166401,,,0.0,0.0
sample_unit,fixed_value,0.008,random,rbs,0.015,0.005,pis seasonal variation low,20.0,18.0,0.0,0.0,0.007472318231991866,,,0.0,0.0
sample_unit,fixed_value,0.12,random,rbs,0.03,0.005,pis seasonal variation high,20.0,19.0,0.0,0.0,0.11367876982946361,,,0.0,0.0
sample_unit,fixed_value,0.07,random,rbs,0.025,0.005,pis mixed material risk,20.0,19.0,0.0,0.0,0.06621896778889258,,,0.0,0.0
sample_unit,fixed_value,0.09,random,rbs,0.02,0.005,pis port specific miami,20.0,19.0,0.0,0.0,0.08528430362434454,,,0.0,0.0
sample_unit,fixed_value,0.04,random,rbs,0.1,0.005,pis inspection intensive,20.0,19.0,0.0,0.0,0.038562044262876065,,,0.0,0.0
