name,consignment name,inspection name,consignment/generation_method,consignment/input_file/file_type,contamination/contamination_unit,contamination/contamination_rate/distribution,contamination/contamination_rate/parameters,contamination/contamination_rate/value,contamination/arrangement,contamination/clustered/distribution,contamination/clustered/contaminated_units_per_cluster,contamination/clustered/percentage_plants_contaminated,contamination/clustered/random/cluster_item_width,inspection/unit,inspection/min_boxes,inspection/sample_strategy,inspection/proportion/value,inspection/hypergeometric/detection_level,inspection/selection_strategy,inspection/within_box_proportion,inspection/cluster/cluster_selection,Unnamed: 23
pis low contamination random,PIS Low Random Contamination,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.01,random,,,1,,boxes,0,rbs,0.02,,random,1,,PIS Low Random Box
pis medium contamination random,PIS Medium Random Contamination,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.05,random,,,0.8,,boxes,0,rbs,0.02,,random,1,,PIS Medium Random Box
pis high contamination random,PIS High Random Contamination,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.1,random,,,0.6,,boxes,0,rbs,0.02,,random,1,,PIS High Random Box
pis beta contamination random,PIS Beta Distributed Contamination,RBS Sample Strategy,RBS,PIS,sample_unit,beta,"[0.0194628, 2.7609372]",0.027,random,,,0.7,,boxes,0,rbs,0.02,,random,1,,PIS Beta Random Box
pis country targeted japan,PIS Japan Targeted Contamination,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.08,random,,,0.7,,boxes,0,rbs,0.02,,random,1,,PIS Japan Targeted
pis country targeted netherlands,PIS Netherlands Targeted Contamination,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.06,random,,,0.8,,boxes,0,rbs,0.02,,random,1,,PIS Netherlands Targeted
pis small consignments,PIS Small Consignment Focus,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.15,random,,,0.5,,boxes,0,rbs,0.05,,random,1,,PIS Small Consignment
pis large consignments,PIS Large Consignment Focus,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.02,random,,,0.9,,boxes,0,rbs,0.01,,random,1,,PIS Large Consignment
pis realistic outbreak,PIS Realistic Outbreak Scenario,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.03,random,,,0.75,,boxes,0,rbs,0.02,,random,1,,PIS Realistic Outbreak
pis detection threshold,PIS Detection Threshold Test,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.005,random,,,0.95,,boxes,0,rbs,0.02,,random,1,,PIS Detection Threshold
pis seasonal variation low,PIS Seasonal Low Risk,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.008,random,,,0.9,,boxes,0,rbs,0.015,,random,1,,PIS Seasonal Low
pis seasonal variation high,PIS Seasonal High Risk,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.12,random,,,0.4,,boxes,0,rbs,0.03,,random,1,,PIS Seasonal High
pis mixed material risk,PIS Mixed Material Risk,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.07,random,,,0.6,,boxes,0,rbs,0.025,,random,1,,PIS Mixed Material
pis port specific miami,PIS Miami Port Specific,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.09,random,,,0.55,,boxes,0,rbs,0.02,,random,1,,PIS Miami Port
pis inspection intensive,PIS Intensive Inspection,RBS Sample Strategy,RBS,PIS,sample_unit,fixed_value,,0.04,random,,,0.8,,boxes,0,rbs,0.1,,random,1,,PIS Intensive Inspection
