INSPECTION_NUMBER,INSPECTION_LOCATION_NAME,PATHWAY,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE,PRODUCER_NAME,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY
INS_0,Atlanta PIS,Maritime Port - Vessel - Cargo - PIS,Taiwan,Unrooted Cutting,Same as Shipper,2,12794
INS_0,Miami PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,Unrooted Cutting,AGRO KOMPASS S.A.,814,44276
INS_0,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),"ORNAMENTALES SAPO VERDE S A, BOX 6201-6202",22,22683
INS_0,JFK PIS,Airport - Aircraft - Cargo - PIS,Thailand,Unrooted Cutting,VITA FARMS Box 801-840,1,75
INS_0,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),AGRO KOMPASS S  A BOX 1-81,33,178961
INS_0,Miami PIS,Airport - Aircraft - Cargo - PIS,India,Rooted Plant (including grafted),AGRO ORCHIDS COSTA RICA S.A,30,10291
INS_0,Miami PIS,Land Border - Truck - Cargo - PIS,Guatemala,Unrooted Cutting,EDEN GARDEN FOR EXOTIC,257,8260
INS_0,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,Unrooted Cutting,COSTA FAMRS LLC,8,8
INS_0,JFK PIS,Airport - Aircraft - Cargo - PIS,Colombia,Unrooted Plant,ANTHURA B.V.,0,179
INS_0,Miami PIS,Airport - Aircraft - Cargo - PIS,Netherlands,Unrooted Cutting,CACTUSINTER CO LTD,0,832
INS_0,Miami PIS,Airport - Aircraft - Cargo - PIS,El Salvador,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),AGRO MARIA LINDA S. A.,28,84819
INS_1,Miami PIS,Airport - Aircraft - Express Carrier - PIS,Guatemala,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),XANH XANH URBAN FOREST CO LTD,10,219
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,India,Rooted Plant (including grafted),AGRO ORCHIDS COSTA RICA S.A,30,10291
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Unrooted Cutting,INNOVA PLANT DE COSTA RICA SA,5,12421
INS_1,Linden PIS,Airport - Aircraft - Cargo - PIS,Ecuador,Unrooted Cutting,BEAUTY LINE GUATEMALA S A,0,4
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Unrooted Cutting,Not Selected,20,21601
INS_1,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),ORNAMENTALLES DE SAPO VERDE 001-030,35,82582
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),IVAGRO S.A. BOX 1-11,22,15904
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Unrooted Plant,Vita Farms 401,5,25884
INS_1,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,China,Unrooted Cutting,Not Selected,64,407995
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),Vita Farms 1701,96,171923
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Netherlands,Rooted Plant (including grafted),Not Selected,8,113433
INS_1,Atlanta PIS,Airport - Aircraft - Express Carrier - PIS,Guatemala,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),POPOW ORCHIDS,9,2
INS_1,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Unrooted Cutting,ANTHO ORNAMENTALES SA box 1-10,21,379
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Ethiopia,Rooted Plant (including grafted),Polapathara Suttiwatana,9,14907
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Indonesia,Rooted Plant (including grafted),BEAUTY LINE,3,98
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Ethiopia,Unrooted Cutting,LATHY FLORA KENYA LIMITED,17,5194
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,China,Rooted Cutting (including air layer),ORNAMENTAL DE SAPO Verde  031-039,1,8
INS_1,Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,"Bulb, Corm, Rhizome, Tuberous Stem","Cactus Inter Co., LTD",1,3593
INS_1,Linden PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),Not Selected,0,62788
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Colombia,Rooted Plant (including grafted),VITA FARMS SA 1300,32,25856
INS_1,Miami PIS,Land Border - Truck - Cargo - PIS,Honduras,Unrooted Plant,"KAPOK PLANTAS, S.A.",10,59636
INS_1,Linden PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,Rooted Plant (including grafted),VIVERO INTERNACIONAL S.A. DE C.V.,4,6142
INS_1,Miami PIS,Maritime Port - Vessel - Cargo - PIS,Guatemala,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Same as Shipper,6,1561
INS_1,Miami PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,Rooted Plant (including grafted),Not Selected,16,166904
INS_2,Miami PIS,Maritime Port - Vessel - Cargo - PIS,Netherlands,Unrooted Cutting,COOPERATIVA AGRICOLA REGIONAL DE Box 25-27,15,9958
INS_2,Houston PIS,Airport - Aircraft - Cargo - PIS,Taiwan,Unrooted Cutting,PLANT 1688,0,7019
INS_2,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,Taiwan,Unrooted Cutting,"Growth Revolution Co., Ltd.",70,29649
INS_2,Miami PIS,Airport - Aircraft - Cargo - PIS,Mexico,Unrooted Cutting,Same as Shipper,1,6862
INS_2,Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,Unrooted Cutting,"PACHARA ORCHIDS INTERTRADE CO.,",1,2340
INS_2,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Taiwan,Rooted Plant (including grafted),AGROINDUSTRIALES CHORTI,18,1327
INS_2,Linden PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),ZHONGSHAN XINHUI FLORICULTURE LT,2,25273
INS_2,Miami PIS,Maritime Port - Vessel - Cargo - PIS,Guatemala,Rooted Plant (including grafted),ZION PLANTS,10,23717
INS_2,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,Unrooted Cutting,Same as Shipper,0,89151
INS_2,JFK PIS,Airport - Aircraft - Cargo - PIS,Kenya,Unrooted Cutting,INNOVAPLANT DE COSTA RICA,79,1588
INS_2,Miami PIS,Airport - Aircraft - Cargo - PIS,Kenya,Rooted Plant (including grafted),MONRA S.A.,8,28044
INS_2,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Colombia,Unrooted Plant,ORNAMENTALES SAPO VERDE Box 8001-8009,41,113216
