INSPECTION_NUMBER,INSPECTION_LOCATION_NAME,PATHWAY,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY,PRODUCER
INS-7732,Atlanta PIS,Air,Netherlands,"Root cutting, crown, or clump, Tuberous Root",557,8547,"Young's Plant Farm, Inc."
INS-7048,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",441,6555,Dallas Johnson Greenhouses
INS-6833,Atlanta PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",388,8936,Garden State Growers
INS-8550,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",97,6215,Westland Floral Co.
INS-5244,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",414,11102,Cuthbert Greenhouse
INS-7744,Atlanta PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),229,12475,Kube-Pak
INS-4310,Atlanta PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",451,10765,DeLeon's Bromeliads
INS-9698,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),395,8444,Burgett Geothermal Greenhouses
INS-7145,Los Angeles PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",235,9868,Metrolina Greenhouses
INS-5558,Atlanta PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",135,2032,Grower Direct Farms
INS-9141,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",538,16626,Harts Nursery
INS-7018,Los Angeles PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",92,10430,Wenke Greenhouses
INS-5156,Los Angeles PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",394,9392,Lucas Greenhouses
INS-6846,Atlanta PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),524,4213,Elzinga & Hoeksema Greenhouses
INS-7744,Los Angeles PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",408,10194,Color Star Growers
INS-3831,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",545,4643,Silver Terrace Nursery
INS-3818,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",224,8301,Green Valley Growers
INS-4117,Los Angeles PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",189,12232,Panzer Nursery
INS-2813,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",592,6362,Clearwater Nursery
INS-4457,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",0,4222,Floral Plant Growers LLC
INS-2060,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),278,3819,Hiebert Greenhouse of South Dakota
INS-6805,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),197,10500,Kent's Bromeliads Nursery Inc.
INS-7203,Atlanta PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",300,3210,Operation
INS-2849,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),487,6162,Kube-Pak
INS-4252,Atlanta PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),369,3719,Kent's Bromeliads Nursery Inc.
INS-4443,Atlanta PIS,Air,Netherlands,Budwood/Graftwood (scion),0,2188,"Matsui Nursery, Inc."
INS-9978,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",472,7139,Four Star Greenhouses
INS-3335,Atlanta PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",119,1350,"Young's Plant Farm, Inc."
INS-3529,Los Angeles PIS,Sea,Japan,Budwood/Graftwood (scion),210,6953,Paul Ecke Ranch
INS-5200,Los Angeles PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",437,8212,Westland Floral Co.
INS-9218,Miami PIS,Air,Netherlands,"Root cutting, crown, or clump, Tuberous Root",34,11823,Rockwell Farms Inc.
INS-9978,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",509,11691,Paul Ecke Ranch
