INSPECTION_ID,INSPECTION_NUMBER,INSPECTION_LOCATION_ID,INSPECTION_LOCATION_NAME,INSPECTION_LOCATION_STATE_CODE,CATEGORY,SUBCATEGORY,PATHWAY_ID,PATHWAY,ID,COUNTRY_OF_ORIGIN_ID,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE_ID,PROPAGATIVE_MATERIAL_TYPE,PRODUCER_ID,PRODUCER_NAME,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY,SUBMITTED_DATETIME,REMARKS,CONFIDENCE_LEVEL,RISK_RATING,DETECTION_LEVEL,REQUIRED_NUMBER_OF_BOXES,PULL_NUMBERS,IS_CERTIFIED_OFFSHORE_GREENHOUSE,IS_ACTIVE,CREATED_BY_USER_ID,CREATED_BY_USER_FIRST_NAME,CREATED_BY_USER_MIDDLE_NAME,CREATED_BY_USER_LAST_NAME,CREATED_DATETIME,MODIFIED_BY_USER_ID,MODIFIED_BY_USER_FIRST_NAME,MODIFIED_BY_USER_MIDDLE_NAME,MODIFIED_BY_USER_LAST_NAME,MODIFIED_DATETIME,remarks2,pack_plant
1,1,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Rooted Plant (including grafted),,INNOVAPLANT DE COSTA RICA,8,31708,,,,,,6,,,,,,,,,,,,,,,
1,1,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,Vita Farms 3301,56,61,,,,,,14,,,,,,,,,,,,,,,
1,1,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Brazil,,Rooted Plant (including grafted),,INNOVAPLANT DE COSTA RICA,306,12404,,,,,,17,,,,,,,,,,,,,,,
1,1,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,India,,Unrooted Cutting,,Not Selected,0,33,,,,,,9,,,,,,,,,,,,,,,
1,1,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Unrooted Cutting,,IVAGRO SA,6,229,,,,,,18,,,,,,,,,,,,,,,
1,1,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Spain,,Rooted Plant (including grafted),,Ornamentales Sapo Verde Box 6201-6202,70,1264,,,,,,17,,,,,,,,,,,,,,,
1,1,,Beltsville PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Plant,,DONGGUAN AGRISTAR BIOTECHNOLOGY CO,644,25057,,,,,,8,,,,,,,,,,,,,,,
1,1,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Unrooted Cutting,,M & M Productores 1,6,19220,,,,,,27,,,,,,,,,,,,,,,
1,1,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,"AGRO KOMPASS,SOCIEDAD ANONIMA",2,4,,,,,,26,,,,,,,,,,,,,,,
1,1,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,"ZHONGSHAN BRIGHTEN FLORICULTURE CO., LTD",78,119127,,,,,,28,,,,,,,,,,,,,,,
1,1,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,"FIDES GUATEMALA, S.A.",0,780,,,,,,20,,,,,,,,,,,,,,,
1,1,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Rooted Plant (including grafted),,SAN TAI INTL TRADING NETWORK COM,3,11406,,,,,,20,,,,,,,,,,,,,,,
1,1,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Rooted Cutting (including air layer),,PT ALCHEMIE BERKA,9,20494,,,,,,20,,,,,,,,,,,,,,,
1,1,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Kenya,,Rooted Plant (including grafted),,LIVE WITH PLANTS,54,4456,,,,,,22,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Unrooted Cutting,,INVERSIONES PALMETO LTDA,0,174,,,,,,25,,,,,,,,,,,,,,,
2,2,,Atlanta PIS,,,,,Land Border - Truck - Cargo - PIS,,,Honduras,,Rooted Plant (including grafted),,COSTA FAMRS LLC,146,77238,,,,,,26,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,INNOVAPLANT DE COSTA RICA,28,51484,,,,,,25,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Unrooted Cutting,,YOUNG HOME ORCHID CO LTD,2,5844,,,,,,23,,,,,,,,,,,,,,,
2,2,,JFK PIS,,,,,Airport - Aircraft - Express Carrier - PIS,,,Guatemala,,Unrooted Cutting,,GUANGZHOU XINHE AGRICULTURAL DEVELO,4,5722,,,,,,17,,,,,,,,,,,,,,,
3,3,,Guam PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,AGROPECUARIA HERMANOS PACHECO S,6,18469,,,,,,14,,,,,,,,,,,,,,,
3,3,,Houston PIS,,,,,Airport - Aircraft - Cargo - PIS,,,"Korea, South",,Rooted Plant (including grafted),,Not Selected,12,26745,,,,,,18,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Taiwan,,Rooted Cutting (including air layer),,Soloverde Limitada,1,656,,,,,,26,,,,,,,,,,,,,,,
3,3,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Plant,,EXPORTACIONES DE PRODUCTOS GUATEMAL,102,380596,,,,,,15,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Germany,,Unrooted Cutting,,Soloverde Limitada,4,54982,,,,,,2,,,,,,,,,,,,,,,
